is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.39499999999998,NaN,1.10400000000027,0.764999999999873,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.71199999999999,NaN,1.10399999999981,0.302999999999884,T130930
0,0,1,purple,,1,0,1,2,10,3,,,0.760000000000218,0.530999999999949,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,4,10,6,,,1.69700000000012,0.520999999999731,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.07799999999997,0.313999999999851,NaN,NaN,T130930
1,0,0,purple,yellow,0,0,NaN,6,5,8,,,1.38499999999976,NaN,1.11799999999994,NaN,T130930
0,1,1,purple,,1,0,1,6,5,8,,,2.01299999999992,0.488000000000284,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.07199999999966,0.318000000000211,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.71300000000019,0.335999999999785,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.38500000000022,NaN,1.11999999999989,0.378999999999905,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.00999999999976,NaN,1.11099999999988,0.381000000000313,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.38400000000001,0.333000000000084,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.759999999999764,NaN,1.10400000000027,0.30199999999968,T130930
0,0,1,purple,,1,0,1,2,10,3,,,1.07799999999997,0.798999999999978,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,0.761000000000422,NaN,1.10899999999992,0.422000000000025,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.69700000000012,NaN,1.10799999999972,0.330000000000382,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,2.00999999999976,0.407000000000153,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.761000000000422,NaN,1.10399999999981,0.36200000000008,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.39599999999973,0.680000000000291,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,4,5,5,,,1.69700000000012,0.385999999999967,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,10,3,,,1.39599999999973,0.331000000000131,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,10,3,,,0.760000000000218,0.505999999999858,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.39499999999998,NaN,1.10399999999981,0.34900000000016,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.07799999999997,0.817000000000007,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,2.00900000000001,NaN,1.11200000000008,0.3449999999998,T130930
0,0,1,purple,,1,0,1,6,10,9,,,1.07099999999991,0.644999999999982,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.71199999999999,0.561999999999898,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.38599999999997,0.329000000000178,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,1.71299999999974,0.32300000000032,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,0.759999999999764,NaN,1.10800000000017,0.298999999999978,T130930
0,0,1,purple,,1,0,1,6,10,9,,,2.00900000000001,0.731999999999971,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,1,1,,,1.71299999999974,0.316000000000258,NaN,NaN,T130930
1,0,0,purple,yellow,0,0,NaN,4,10,6,,,1.07200000000012,NaN,1.11499999999978,NaN,T130930
0,1,1,purple,,1,0,1,4,10,6,,,1.39400000000023,0.788000000000011,NaN,NaN,T130930
1,0,0,purple,yellow,0,0,NaN,6,5,8,,,0.760000000000218,NaN,1.11000000000013,NaN,T130930
0,1,1,purple,,1,0,1,6,5,8,,,1.39399999999978,0.456000000000131,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,0.760000000000218,0.674999999999727,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,2.01400000000012,0.442999999999756,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.69700000000012,NaN,1.10599999999977,0.492000000000189,T130930
0,0,1,yellow,purple,0,1,1,4,10,6,,,0.760000000000218,NaN,1.10799999999972,0.537000000000262,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,1.07200000000012,0.580999999999676,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.39499999999998,1.05400000000009,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,5,2,,,2.00999999999976,0.585000000000036,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.07799999999997,NaN,1.10399999999981,0.456000000000131,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.07900000000018,NaN,1.10399999999981,0.331000000000131,T130930
0,0,1,purple,,1,0,1,2,1,1,,,1.71300000000019,0.311999999999898,NaN,NaN,T130930
0,0,1,purple,yellow,0,1,0,6,5,8,,,0.760000000000218,NaN,1.10899999999992,0.116999999999734,T130930
1,0,0,,,0,0,NaN,4,1,4,,,NaN,NaN,NaN,NaN,T130930
0,1,1,yellow,purple,0,1,1,4,1,4,,,1.39499999999998,NaN,1.10400000000027,0.323999999999614,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01300000000037,NaN,1.10299999999961,0.307000000000244,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,2.01300000000037,NaN,1.10299999999961,0.292000000000371,T130930
